"DateTime","Temperature","Dew Point","Relative Humidity"
"2024-12-31 16:53:00",10.6,-0.7,45.8
"2024-12-31 17:53:00",8.3,0.51,58.32
"2024-12-31 18:53:00",8.3,0.51,58.32
"2024-12-31 19:53:00",7.8,1.63,65.31
"2024-12-31 20:53:00",7.8,1.63,65.31
"2024-12-31 21:53:00",7.8,0.52,60.34
"2024-12-31 22:53:00",6.7,1.03,67.44
"2024-12-31 23:53:00",5.6,1.04,72.76
"2025-01-01 00:53:00",3.9,0.55,79.03
"2025-01-01 01:53:00",3.3,0.56,82.45
"2025-01-01 02:53:00",2.8,-0.04,81.79
"2025-01-01 03:53:00",1.7,-1.14,81.63
"2025-01-01 04:53:00",2.2,-0.03,85.35
"2025-01-01 05:53:00",1.7,-0.03,88.46
"2025-01-01 06:53:00",2.2,-0.64,81.7
"2025-01-01 07:53:00",2.2,-0.64,81.7
"2025-01-01 08:53:00",4.4,2.17,85.6
"2025-01-01 09:53:00",7.2,1.03,65.17
"2025-01-01 10:53:00",10.6,1.01,51.8
"2025-01-01 11:53:00",11.7,2.11,52.11
"2025-01-01 12:53:00",13.3,2.72,48.97
"2025-01-01 13:53:00",13.9,2.11,45.13
"2025-01-01 14:53:00",13.3,3.22,50.73
"2025-01-01 15:53:00",12.8,3.82,54.68
"2025-01-01 16:53:00",12.2,4.33,58.91
"2025-01-01 17:53:00",10.6,4.94,68.29
"2025-01-01 18:53:00",10,4.95,71.08
"2025-01-01 19:53:00",10,3.83,65.81
"2025-01-01 20:53:00",10,4.95,71.08
"2025-01-01 21:53:00",8.3,3.85,73.79
"2025-01-01 22:53:00",7.2,4.36,82.38
"2025-01-01 23:53:00",6.7,4.37,85.25
"2025-01-02 00:53:00",6.1,3.87,85.79
"2025-01-02 01:53:00",6.1,3.87,85.79
"2025-01-02 02:53:00",6.1,3.26,82.23
"2025-01-02 03:53:00",5,2.77,85.67
"2025-01-02 04:53:00",5.6,3.27,85.13
"2025-01-02 05:53:00",5,3.27,88.75
"2025-01-02 06:53:00",4.4,2.78,89.33
"2025-01-02 07:53:00",5,3.27,88.75
"2025-01-02 08:53:00",7.8,4.97,82.46
"2025-01-02 09:53:00",10,5.55,74.1
"2025-01-02 10:53:00",13.3,5.53,59.6
"2025-01-02 11:53:00",14.4,5.53,55.49
"2025-01-02 12:53:00",14.4,6.64,59.87
"2025-01-02 13:53:00",15,7.74,62.1
"2025-01-02 14:53:00",15,7.74,62.1
"2025-01-02 15:53:00",13.9,7.75,66.67
"2025-01-02 16:53:00",12.8,7.15,68.75
"2025-01-02 17:53:00",11.7,7.15,73.9
"2025-01-02 18:53:00",11.1,6.65,74.3
"2025-01-02 19:53:00",9.4,6.06,79.86
"2025-01-02 20:53:00",10.6,6.05,73.7
"2025-01-02 21:53:00",9.4,6.06,79.86
"2025-01-02 22:53:00",7.8,6.69,92.75
"2025-01-02 23:53:00",7.8,6.08,88.99
"2025-01-03 00:53:00",7.8,6.08,88.99
"2025-01-03 01:53:00",7.2,6.09,92.72
"2025-01-03 02:53:00",6.7,5.59,92.69
"2025-01-03 03:53:00",6.7,5.59,92.69
"2025-01-03 04:53:00",7.2,5.58,89.56
"2025-01-03 05:53:00",7.8,6.69,92.75
"2025-01-03 06:53:00",8.3,7.19,92.78
"2025-01-03 07:53:00",11.1,8.27,82.88
"2025-01-03 08:53:00",11.7,8.87,82.95
"2025-01-03 09:53:00",11.7,9.98,89.32
"2025-01-03 10:53:00",12.2,11.09,93
"2025-01-03 11:53:00",12.8,11.69,93.03
"2025-01-03 12:53:00",13.3,11.68,90.04
"2025-01-03 13:53:00",13.3,10.57,83.71
"2025-01-03 14:53:00",13.3,9.97,80.42
"2025-01-03 15:53:00",12.8,8.86,77.17
"2025-01-03 16:53:00",11.1,7.76,80.11
"2025-01-03 17:53:00",10.6,7.77,82.82
"2025-01-03 18:53:00",9.4,7.17,86.14
"2025-01-03 19:53:00",9.4,7.17,86.14
"2025-01-03 20:53:00",7.8,6.69,92.75
"2025-01-03 21:53:00",7.2,6.09,92.72
"2025-01-03 22:53:00",5,5,100
"2025-01-03 23:53:00",6.1,5.59,96.6
"2025-01-04 00:53:00",5,4.39,95.89
"2025-01-04 01:53:00",6.7,6.09,95.95
"2025-01-04 02:53:00",6.1,4.98,92.65
"2025-01-04 03:53:00",5.6,4.99,95.91
"2025-01-04 04:53:00",4.4,4.4,100
"2025-01-04 05:53:00",4.4,4.4,100
"2025-01-04 06:53:00",3.9,3.9,100
"2025-01-04 07:53:00",4.4,3.89,96.55
"2025-01-04 08:53:00",6.1,4.98,92.65
"2025-01-04 09:53:00",8.9,6.67,86.08
"2025-01-04 10:53:00",10,7.17,82.74
"2025-01-04 11:53:00",11.1,7.76,80.11
"2025-01-04 12:53:00",12.8,7.15,68.75
"2025-01-04 13:53:00",13.9,6.64,61.84
"2025-01-04 14:53:00",13.9,5.53,57.32
"2025-01-04 15:53:00",12.8,5.53,61.57
"2025-01-04 16:53:00",11.1,4.94,66.05
"2025-01-04 17:53:00",10,5.55,74.1
"2025-01-04 18:53:00",8.3,5.57,83.1
"2025-01-04 19:53:00",7.8,5.57,85.97
"2025-01-04 20:53:00",6.7,4.37,85.25
"2025-01-04 21:53:00",6.1,4.38,88.85
"2025-01-04 22:53:00",5,3.88,92.59
"2025-01-04 23:53:00",6.1,4.38,88.85
"2025-01-05 00:53:00",5,3.27,88.75
"2025-01-05 01:53:00",5,3.88,92.59
"2025-01-05 02:53:00",3.3,2.79,96.52
"2025-01-05 03:53:00",3.3,2.79,96.52
"2025-01-05 04:53:00",2.8,2.19,95.82
"2025-01-05 05:53:00",2.8,2.19,95.82
"2025-01-05 06:53:00",3.3,2.18,92.49
"2025-01-05 07:53:00",2.8,2.19,95.82
"2025-01-05 08:53:00",6.1,4.98,92.65
"2025-01-05 09:53:00",7.8,4.97,82.46
"2025-01-05 10:53:00",10.6,5.55,71.19
"2025-01-05 11:53:00",12.8,6.64,66.43
"2025-01-05 12:53:00",13.9,7.14,64
"2025-01-05 13:53:00",15,6.64,57.6
"2025-01-05 14:53:00",15.6,7.14,57.36
"2025-01-05 15:53:00",15,7.14,59.61
"2025-01-05 16:53:00",13.3,7.15,66.54
"2025-01-05 17:53:00",11.1,6.65,74.3
"2025-01-05 18:53:00",10,6.66,79.95
"2025-01-05 19:53:00",8.9,5.56,79.79
"2025-01-05 20:53:00",7.2,4.97,85.9
"2025-01-05 21:53:00",7.2,4.97,85.9
"2025-01-05 22:53:00",6.1,4.38,88.85
"2025-01-05 23:53:00",5,3.27,88.75
"2025-01-06 00:53:00",4.4,2.78,89.33
"2025-01-06 01:53:00",5,3.27,88.75
"2025-01-06 02:53:00",4.4,2.78,89.33
"2025-01-06 03:53:00",3.3,2.18,92.49
"2025-01-06 04:53:00",3.9,2.78,92.52
"2025-01-06 05:53:00",3.3,2.18,92.49
"2025-01-06 06:53:00",3.3,2.18,92.49
"2025-01-06 07:53:00",3.9,2.18,88.66
"2025-01-06 08:53:00",6.1,4.38,88.85
"2025-01-06 09:53:00",8.9,5.56,79.79
"2025-01-06 10:53:00",11.1,7.76,80.11
"2025-01-06 11:53:00",13.3,9.97,80.42
"2025-01-06 12:53:00",15,9.96,72.04
"2025-01-06 13:53:00",15,9.36,69.2
"2025-01-06 14:53:00",15,9.36,69.2
"2025-01-06 15:53:00",13.9,7.75,66.67
"2025-01-06 16:53:00",13.3,7.15,66.54
"2025-01-06 17:53:00",11.1,7.16,76.89
"2025-01-06 18:53:00",10,7.17,82.74
"2025-01-06 19:53:00",7.8,6.08,88.99
"2025-01-06 20:53:00",7.2,5.58,89.56
"2025-01-06 21:53:00",6.7,4.98,88.9
"2025-01-06 22:53:00",5.6,4.38,91.98
"2025-01-06 23:53:00",5,4.39,95.89
"2025-01-07 00:53:00",5.6,4.38,91.98
"2025-01-07 01:53:00",11.7,3.22,56.34
"2025-01-07 02:53:00",11.7,2.11,52.11
"2025-01-07 03:53:00",10.6,2.12,56.05
"2025-01-07 04:53:00",10.6,1.01,51.8
"2025-01-07 05:53:00",10.6,1.01,51.8
"2025-01-07 06:53:00",10,-0.1,49.8
"2025-01-07 07:53:00",12.2,-1.21,39.72
"2025-01-07 08:53:00",13.9,-1.2,35.55
"2025-01-07 09:53:00",15.6,-1.79,30.48
"2025-01-07 10:53:00",16.1,-1.79,29.53
"2025-01-07 11:53:00",17.2,-1.18,28.78
"2025-01-07 12:53:00",17.8,-1.78,26.51
"2025-01-07 13:53:00",18.3,-2.27,24.76
"2025-01-07 14:53:00",17.2,-1.78,27.54
"2025-01-07 15:53:00",16.7,-2.88,26.2
"2025-01-07 16:53:00",16.1,-3.39,26.22
"2025-01-07 17:53:00",16.1,-4.49,24.14
"2025-01-07 18:53:00",16.7,-5.08,22.21
"2025-01-07 19:53:00",16.7,-4.48,23.24
"2025-01-07 20:53:00",16.1,-4.49,24.14
"2025-01-07 21:53:00",16.1,-5.69,22.04
"2025-01-07 22:53:00",15.6,-5.69,22.76
"2025-01-07 23:53:00",15,-6.19,22.77
"2025-01-08 00:53:00",14.4,-5.1,25.73
"2025-01-08 01:53:00",13.9,-5.1,26.58
"2025-01-08 02:53:00",12.2,-5.12,29.7
"2025-01-08 03:53:00",10.6,-3.42,37.52
"2025-01-08 04:53:00",10,-2.92,40.53
"2025-01-08 05:53:00",10,-2.92,40.53
"2025-01-08 06:53:00",10,-2.92,40.53
"2025-01-08 07:53:00",9.4,-2.31,44.12
"2025-01-08 08:53:00",11.7,-2.31,37.85
"2025-01-08 09:53:00",13.9,-2.91,31.35
"2025-01-08 10:53:00",15,-2.9,29.2
"2025-01-08 11:53:00",16.1,-2.89,27.22
"2025-01-08 12:53:00",16.7,-3.38,25.24
"2025-01-08 13:53:00",17.8,-2.87,24.44
"2025-01-08 14:53:00",18.3,-3.37,22.82
"2025-01-08 15:53:00",17.2,-1.78,27.54
"2025-01-08 16:53:00",15,-0.7,34.34
"2025-01-08 17:53:00",12.8,-0.7,39.61
"2025-01-08 18:53:00",10,0.51,52.01
"2025-01-08 19:53:00",8.3,0.51,58.32
"2025-01-08 20:53:00",6.1,-0.08,64.92
"2025-01-08 21:53:00",5.6,0.53,70.19
"2025-01-08 22:53:00",6.1,-0.08,64.92
"2025-01-08 23:53:00",5,-0.07,70.06
"2025-01-09 00:53:00",5,-0.07,70.06
"2025-01-09 01:53:00",3.3,-0.66,75.57
"2025-01-09 02:53:00",3.3,-0.66,75.57
"2025-01-09 03:53:00",3.9,-0.66,72.44
"2025-01-09 04:53:00",7.2,1.03,65.17
"2025-01-09 05:53:00",6.7,0.52,65.05
"2025-01-09 06:53:00",11.7,1.01,48.16
"2025-01-09 07:53:00",11.7,0.5,46.46
"2025-01-09 08:53:00",12.8,1,44.8
"2025-01-09 09:53:00",16.7,-0.68,30.81
"2025-01-09 10:53:00",18.9,-2.26,23.85
"2025-01-09 11:53:00",21.1,-2.83,19.91
"2025-01-09 12:53:00",20,-0.05,26.18
"2025-01-09 13:53:00",20,1.04,28.34
"2025-01-09 14:53:00",20,1.04,28.34
"2025-01-09 15:53:00",19.4,2.14,31.83
"2025-01-09 16:53:00",17.2,1.02,33.77
"2025-01-09 17:53:00",14.4,1.61,42.16
"2025-01-09 18:53:00",12.2,2.11,50.42
"2025-01-09 19:53:00",13.3,0.5,41.83
"2025-01-09 20:53:00",13.9,-0.7,36.87
"2025-01-09 21:53:00",10,0.51,52.01
"2025-01-09 22:53:00",13.3,-0.7,38.34
"2025-01-09 23:53:00",12.2,-0.1,43.04
"2025-01-10 00:53:00",8.3,0.51,58.32
"2025-01-10 01:53:00",7.8,0.52,60.34
"2025-01-10 02:53:00",8.3,1.02,60.46
"2025-01-10 03:53:00",7.8,1.02,62.55
"2025-01-10 04:53:00",5.6,1.04,72.76
"2025-01-10 05:53:00",5.6,0.53,70.19
"2025-01-10 06:53:00",4.4,0.55,76.31
"2025-01-10 07:53:00",5,1.65,79.2
"2025-01-10 08:53:00",8.3,2.74,68.28
"2025-01-10 09:53:00",10,2.72,60.89
"2025-01-10 10:53:00",13.3,2.72,48.97
"2025-01-10 11:53:00",16.1,3.22,42.36
"2025-01-10 12:53:00",19.4,3.24,34.42
"2025-01-10 13:53:00",20.6,1.65,28.52
"2025-01-10 14:53:00",20.6,2.15,29.56
"2025-01-10 15:53:00",18.9,2.74,34.27
"2025-01-10 16:53:00",16.1,2.72,40.88
"2025-01-10 17:53:00",13.9,2.71,47.09
"2025-01-10 18:53:00",11.1,3.22,58.63
"2025-01-10 19:53:00",11.1,7.76,80.11
"2025-01-10 20:53:00",10,7.17,82.74
"2025-01-10 21:53:00",8.3,7.19,92.78
"2025-01-10 22:53:00",7.8,6.69,92.75
"2025-01-10 23:53:00",6.7,4.37,85.25
"2025-01-11 00:53:00",5.6,4.38,91.98
"2025-01-11 01:53:00",5,3.88,92.59
"2025-01-11 02:53:00",4.4,3.28,92.55
"2025-01-11 03:53:00",5,3.27,88.75
"2025-01-11 04:53:00",11.1,1.61,52.32
"2025-01-11 05:53:00",10.6,-1.21,44.15
"2025-01-11 06:53:00",11.7,-3.42,34.88
"2025-01-11 07:53:00",12.2,-5.72,28.37
"2025-01-11 08:53:00",13.9,-5.71,25.39
"2025-01-11 09:53:00",15,-6.19,22.77
"2025-01-11 10:53:00",16.1,-6.18,21.22
"2025-01-11 11:53:00",17.2,-6.77,18.9
"2025-01-11 12:53:00",17.8,-8.35,16.07
"2025-01-11 13:53:00",19.4,-7.23,15.84
"2025-01-11 14:53:00",18.9,-8.92,14.32
"2025-01-11 15:53:00",18.3,-12.21,11.43
"2025-01-11 16:53:00",16.7,-10.65,14.37
"2025-01-11 17:53:00",14.4,-8.4,19.96
"2025-01-11 18:53:00",13.9,-8.4,20.62
"2025-01-11 19:53:00",15,-10.68,16.02
"2025-01-11 20:53:00",14.4,-10.09,17.47
"2025-01-11 21:53:00",14.4,-9.49,18.31
"2025-01-11 22:53:00",14.4,-9.49,18.31
"2025-01-11 23:53:00",13.9,-10.09,18.04
"2025-01-12 00:53:00",13.3,-9.5,19.67
"2025-01-12 01:53:00",13.3,-9,20.46
"2025-01-12 02:53:00",10.6,-7.93,26.63
"2025-01-12 03:53:00",9.4,-7.33,30.23
"2025-01-12 04:53:00",12.2,-8.42,23.04
"2025-01-12 05:53:00",12.2,-9.02,21.98
"2025-01-12 06:53:00",10.6,-7.33,27.9
"2025-01-12 07:53:00",10.6,-6.83,28.99
"2025-01-12 08:53:00",12.2,-5.72,28.37
"2025-01-12 09:53:00",14.4,-5.1,25.73
"2025-01-12 10:53:00",15.6,-6.79,20.92
"2025-01-12 11:53:00",16.1,-4.49,24.14
"2025-01-12 12:53:00",16.7,-5.68,21.22
"2025-01-12 13:53:00",17.2,-5.07,21.52
"2025-01-12 14:53:00",16.7,-3.38,25.24
"2025-01-12 15:53:00",15.6,-2.89,28.1
"2025-01-12 16:53:00",13.9,-2.3,32.78
"2025-01-12 17:53:00",11.1,-1.21,42.71
"2025-01-12 18:53:00",9.4,-1.21,47.84
"2025-01-12 19:53:00",7.8,-1.81,51.01
"2025-01-12 20:53:00",5,-1.79,61.87
"2025-01-12 21:53:00",5,-1.79,61.87
"2025-01-12 22:53:00",4.4,-1.78,64.52
"2025-01-12 23:53:00",3.9,-1.78,66.82
"2025-01-13 00:53:00",4.4,-0.67,69.94
"2025-01-13 01:53:00",3.9,-1.17,69.83
"2025-01-13 02:53:00",4.4,-1.78,64.52
"2025-01-13 03:53:00",4.4,-0.06,73.06
"2025-01-13 04:53:00",5,0.54,73.18
"2025-01-13 05:53:00",5.6,-0.07,67.2
"2025-01-13 06:53:00",5.6,1.65,75.97
"2025-01-13 07:53:00",6.1,-0.68,62.14
"2025-01-13 08:53:00",8.9,-1.81,47.35
"2025-01-13 09:53:00",11.7,-4.02,33.35
"2025-01-13 10:53:00",12.8,-4.01,31.02
"2025-01-13 11:53:00",13.9,-4,28.88
"2025-01-13 12:53:00",14.4,-4,27.96
"2025-01-13 13:53:00",15,-4.5,25.9
"2025-01-13 14:53:00",15,-3.4,28.13
"2025-01-13 15:53:00",13.9,-3.41,30.2
"2025-01-13 16:53:00",12.8,-4.01,31.02
"2025-01-13 17:53:00",9.4,-3.42,40.65
"2025-01-13 18:53:00",8.3,-2.31,47.52
"2025-01-13 19:53:00",6.1,-2.3,55.24
"2025-01-13 20:53:00",5.6,-2.3,57.19
"2025-01-13 21:53:00",3.3,-2.28,67.18
"2025-01-13 22:53:00",3.3,-2.28,67.18
"2025-01-13 23:53:00",2.2,-2.87,69.47
"2025-01-14 00:53:00",2.8,-2.27,69.6
"2025-01-14 01:53:00",1.7,-2.87,72
"2025-01-14 02:53:00",0.6,-3.36,75.08
"2025-01-14 03:53:00",0.6,-3.36,75.08
"2025-01-14 04:53:00",0,-3.35,78.42
"2025-01-14 05:53:00",0.6,-3.36,75.08
"2025-01-14 06:53:00",-0.6,-3.95,78.32
"2025-01-14 07:53:00",0.6,-2.85,77.93
"2025-01-14 08:53:00",4.4,-0.67,69.94
"2025-01-14 09:53:00",7.8,0.52,60.34
"2025-01-14 10:53:00",11.1,-0.1,46.28
"2025-01-14 11:53:00",13.9,-1.2,35.55
"2025-01-14 12:53:00",15,-0.7,34.34
"2025-01-14 13:53:00",15.6,0.51,36.06
"2025-01-14 14:53:00",16.1,0.51,34.92
"2025-01-14 15:53:00",15.6,0.51,36.06
"2025-01-14 16:53:00",14.4,-0.1,37.29
"2025-01-14 17:53:00",11.1,0.5,48.34
"2025-01-14 18:53:00",8.9,0.51,56
"2025-01-14 19:53:00",7.2,-0.08,60.19
"2025-01-14 20:53:00",5,-0.67,67.07
"2025-01-14 21:53:00",5,-0.67,67.07
"2025-01-14 22:53:00",4.4,-1.17,67.43
"2025-01-14 23:53:00",3.9,-1.17,69.83
"2025-01-15 00:53:00",3.3,-1.16,72.85
"2025-01-15 01:53:00",1.7,-1.75,78.11
"2025-01-15 02:53:00",2.2,-1.76,75.37
"2025-01-15 03:53:00",1.7,-1.75,78.11
"2025-01-15 04:53:00",1.7,-1.75,78.11
"2025-01-15 05:53:00",1.7,-1.75,78.11
"2025-01-15 06:53:00",1.7,-1.75,78.11
"2025-01-15 07:53:00",1.7,-1.75,78.11
"2025-01-15 08:53:00",4.4,1.66,82.59
"2025-01-15 09:53:00",7.2,1.03,65.17
"2025-01-15 10:53:00",10.6,1.61,54.09
"2025-01-15 11:53:00",12.8,2.71,50.59
"2025-01-15 12:53:00",15.6,2.72,42.21
"2025-01-15 13:53:00",16.7,2.12,37.71
"2025-01-15 14:53:00",16.1,2.72,40.88
"2025-01-15 15:53:00",15,2.72,43.87
"2025-01-15 16:53:00",12.8,2.71,50.59
"2025-01-15 17:53:00",10,2.12,58.34
"2025-01-15 18:53:00",9.4,2.12,60.74
"2025-01-15 19:53:00",7.2,1.63,68.04
"2025-01-15 20:53:00",5.6,1.04,72.76
"2025-01-15 21:53:00",5.6,1.04,72.76
"2025-01-15 22:53:00",3.9,0.55,79.03
"2025-01-15 23:53:00",3.3,-0.05,78.94
"2025-01-16 00:53:00",2.2,-0.03,85.35
"2025-01-16 01:53:00",1.1,-1.13,85.23
"2025-01-16 02:53:00",1.7,-1.14,81.63
"2025-01-16 03:53:00",1.7,-1.14,81.63
"2025-01-16 04:53:00",0.6,-1.74,84.55
"2025-01-16 05:53:00",1.1,-1.74,81.55
"2025-01-16 06:53:00",0.6,-1.74,84.55
"2025-01-16 07:53:00",1.1,-1.13,85.23
"2025-01-16 08:53:00",3.9,0.55,79.03
"2025-01-16 09:53:00",7.8,2.13,67.68
"2025-01-16 10:53:00",11.1,3.22,58.63
"2025-01-16 11:53:00",13.9,2.71,47.09
"2025-01-16 12:53:00",16.1,3.22,42.36
"2025-01-16 13:53:00",17.2,2.73,38.13
"2025-01-16 14:53:00",17.8,3.83,39.68
"2025-01-16 15:53:00",17.8,3.23,38.04
"2025-01-16 16:53:00",16.7,2.72,39.35
"2025-01-16 17:53:00",11.7,4.33,60.88
"2025-01-16 18:53:00",10,3.23,63.08
"2025-01-16 19:53:00",7.8,2.74,70.64
"2025-01-16 20:53:00",7.2,2.74,73.59
"2025-01-16 21:53:00",6.1,1.64,73.38
"2025-01-16 22:53:00",4.4,1.05,79.11
"2025-01-16 23:53:00",3.3,-0.05,78.94
"2025-01-17 00:53:00",3.3,-0.05,78.94
"2025-01-17 01:53:00",2.8,-0.04,81.79
"2025-01-17 02:53:00",2.2,-1.15,78.77
"2025-01-17 03:53:00",1.1,-1.74,81.55
"2025-01-17 04:53:00",1.1,-1.74,81.55
"2025-01-17 05:53:00",1.1,-1.74,81.55
"2025-01-17 06:53:00",1.1,-1.74,81.55
"2025-01-17 07:53:00",0.6,-1.74,84.55
"2025-01-17 08:53:00",5,0.54,73.18
"2025-01-17 09:53:00",7.2,2.74,73.59
"2025-01-17 10:53:00",10,4.34,68.16
"2025-01-17 11:53:00",12.2,6.04,66.3
"2025-01-17 12:53:00",14.4,4.93,53.22
"2025-01-17 13:53:00",14.4,NaN,NaN
"2025-01-17 14:53:00",13.9,NaN,NaN
"2025-01-17 15:53:00",13.3,NaN,NaN
"2025-01-17 16:53:00",11.1,NaN,NaN
"2025-01-17 17:53:00",8.9,NaN,NaN
"2025-01-17 18:53:00",7.8,NaN,NaN
"2025-01-17 19:53:00",6.7,NaN,NaN
"2025-01-17 20:53:00",5.6,NaN,NaN
"2025-01-17 21:53:00",5.6,NaN,NaN
"2025-01-17 22:53:00",6.7,NaN,NaN
"2025-01-17 23:53:00",7.2,NaN,NaN
"2025-01-18 00:53:00",7.8,NaN,NaN
"2025-01-18 01:53:00",7.2,NaN,NaN
"2025-01-18 02:53:00",7.2,NaN,NaN
"2025-01-18 03:53:00",6.7,NaN,NaN
"2025-01-18 04:53:00",6.1,NaN,NaN
"2025-01-18 05:53:00",5.6,NaN,NaN
"2025-01-18 06:53:00",5,NaN,NaN
"2025-01-18 07:53:00",4.4,NaN,NaN
"2025-01-18 08:53:00",3.9,NaN,NaN
"2025-01-18 09:53:00",5,NaN,NaN
"2025-01-18 10:53:00",8.3,4.35,76.43
"2025-01-18 11:53:00",10,4.95,71.08
"2025-01-18 12:53:00",13.3,5.53,59.6
"2025-01-18 13:53:00",16.7,1.02,34.85
"2025-01-18 14:53:00",16.1,1.62,37.8
"2025-01-18 15:53:00",16.1,1.62,37.8
"2025-01-18 16:53:00",14.4,2.71,45.59
"2025-01-18 17:53:00",10.6,2.12,56.05
"2025-01-18 18:53:00",7.8,1.63,65.31
"2025-01-18 19:53:00",7.2,1.63,68.04
"2025-01-18 20:53:00",6.1,1.03,70.29
"2025-01-18 21:53:00",4.4,0.55,76.31
"2025-01-18 22:53:00",3.9,-0.06,75.67
"2025-01-18 23:53:00",3.3,-0.05,78.94
"2025-01-19 00:53:00",2.8,-0.65,78.29
"2025-01-19 01:53:00",1.7,-1.14,81.63
"2025-01-19 02:53:00",1.7,-1.14,81.63
"2025-01-19 03:53:00",1.1,-1.74,81.55
"2025-01-19 04:53:00",0.6,-1.74,84.55
"2025-01-19 05:53:00",0,-1.73,88.3
"2025-01-19 06:53:00",0,-2.24,85.1
"2025-01-19 07:53:00",0.6,-1.74,84.55
"2025-01-19 08:53:00",3.3,0.56,82.45
"2025-01-19 09:53:00",6.1,1.64,73.38
"2025-01-19 10:53:00",8.9,3.23,67.92
"2025-01-19 11:53:00",11.1,6.05,71.29
"2025-01-19 12:53:00",12.2,6.04,66.3
"2025-01-19 13:53:00",13.3,6.04,61.69
"2025-01-19 14:53:00",13.3,6.04,61.69
"2025-01-19 15:53:00",12.8,6.04,63.74
"2025-01-19 16:53:00",10,5.55,74.1
